Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.
na.jaemin0813,170,Others,9800000.0,Indonesia,1800000.0,2300000.0
greeicy,171,Shows,21200000.0,Colombia,753500.0,1000000.0
emmachamberlain,172,Lifestyle,15900000.0,United States,873500.0,1300000.0
evaluna,173,Family,20700000.0,Argentina,744100.0,1000000.0
henrycavill,174,Actors,21300000.0,Brazil,826500.0,1000000.0
carlinhosmaiaof,175,Lifestyle,25800000.0,Brazil,457400.0,837000.0
domelipa,176,Lifestyle,18900000.0,Mexico,915500.0,1100000.0
saraalikhan95,177,Actors,40700000.0,India,424300.0,518299.99999999994
m10_official,178,Sports,24500000.0,Turkey,617100.0,866600.0
cznburak,179,Food & Cooking,37000000.0,Turkey,418500.0,566200.0
imhyoseop,180,Lifestyle,8500000.0,Indonesia,2100000.0,2500000.0
vancityreynolds,181,Actors,44500000.0,United States,362300.0,467900.0
stephencurry30,182,Sports,44700000.0,United States,344300.0,462100.0
strangerthingstv,183,Actors,20500000.0,Brazil,727500.0,974000.0
justintimberlake,184,Music,65500000.0,United States,226500.0,299500.0
feliciathegoat,185,Music,13000000.0,United States,911400.0,1500000.0
haileesteinfeld,186,Actors,19100000.0,United States,796200.0,1000000.0
lukamodric10,187,Sports,24300000.0,Spain,537800.0,787400.0
renebaebae,188,Lifestyle,10700000.0,Indonesia,1500000.0,1800000.0
do0_nct,189,Lifestyle,10300000.0,Indonesia,1400000.0,1800000.0
paulpogba,190,Sports,54700000.0,Brazil,190800.0,339500.0
heybiblee,191,Modeling,14400000.0,Indonesia,926600.0,1300000.0
sergioramos,192,Sports,52300000.0,Spain,222100.0,343000.0
nattinatasha,193,Music,35900000.0,Mexico,417900.0,502200.0
thinkaboutzu,194,Others,6600000.0,United States,0.0,2800000.0
awez_darbar,195,Shows,21400000.0,India,694600.0,831400.0
bizarrap,196,Music,13500000.0,Argentina,1100000.0,1300000.0
nina,197,Actors,25700000.0,Brazil,479900.0,687600.0
leedongwook_official,198,Actors,14600000.0,Indonesia,904600.0,1200000.0
_imyour_joy,199,Lifestyle,14000000.0,Indonesia,1000000.0,1200000.0
bambam1a,200,Music,16600000.000000002,Brazil,840200.0,1100000.0
anuel,201,Music,28800000.0,Spain,399200.0,613700.0
momo,202,Modeling,6900000.0,Turkey,1700000.0,2600000.0
zidane,204,Sports,33100000.0,Spain,379800.0,517900.0
marshmello,205,Others,29400000.0,Others,0.0,579200.0
hardikpandya93,206,Sports,21700000.0,India,625400.0,784100.0
sza,207,Music,12300000.0,United States,819700.0,1400000.0
zachking,208,Shows,24700000.0,Indonesia,447000.0,687700.0
anitta,209,Music,62900000.0,Brazil,145800.0,269500.0
liluzivert,210,Music,16100000.000000002,United States,568500.0,1000000.0
kartikaaryan,211,Actors,25500000.0,India,523299.99999999994,651000.0
louist91,212,Music,18500000.0,Brazil,658400.0,901100.0
nehakakkar,213,Music,70400000.0,India,199600.0,231800.0
iamhalsey,214,Music,30100000.0,United States,410000.0,539000.0
